"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
43;"C97";"C_0402_1005Metric";1;"2.2nF";;;
44;"R191,R61,R62,R190,R198,R63,R64,R197";"R_0402_1005Metric";8;"10R";;;
45;"R84,R85";"R_0402_1005Metric";2;"47k";;;
46;"R101";"R_0402_1005Metric";1;"1.43k 1%";;;
47;"Q2,Q1";"NMOS_2N7002";2;"2N7002";;;
48;"R134,R140,R137,R136,R131,R132,R135,R138,R133,R139";"R_0402_1005Metric";10;"49.9R";;;
49;"C62,C49";"C_0402_1005Metric";2;"1uF";;;
50;"R192,R66,R65,R199";"R_0603_1608Metric";4;"120R";;;
51;"X2";"XTAL_25MHZ";1;"X322525MOB4SI";;;
52;"L1,L2,L3,L4";"Choke";4;"6.8uH";;;
53;"J11";"SODIMM_DDR4";1;"2309410-1";;;
54;"TP1,TP2,TP6,TP3,TP4,TP5";"TestPoint_Pad_1.0x1.0mm";6;"TestPoint_Small";;;
55;"U15";"LT8912B";1;"LT8912B";;;
56;"D1,D2,D6,D4,D3";"B540C-13-F";5;"B540C-13-F";;;
57;"C30,C33";"C_0603_1608Metric";2;"1uF";;;
58;"J34";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
59;"OSC1";"25MHZ_OSCILLATOR";1;"OT322525MJBA4SL";;;
60;"J4";"USB_VERTICAL_BLUE";1;"906-151A1058D10200";;;
61;"R14,R21,R19";"R_0603_1608Metric";3;"1k";;;
62;"C178,C60,C61,C179";"C_0402_1005Metric";4;"18pF";;;
63;"J2";"PinHeader_2x02_P2.54mm_Vertical";1;"Conn_02x02_Top_Bottom";;;
64;"U8";"CD4060";1;"CD4060SA_TR";;;
65;"U16";"SOIC-20W_7.5x12.8mm_P1.27mm";1;"ADM2582E";;;
66;"R20";"R_0603_1608Metric";1;"100k";;;
67;"U24";"RX8010SJ";1;"RX8010SJ";;;
68;"J1";"24_Pin_Connector_Vertical";1;"39281243";;;
69;"U17,U18";"ESD_RS485";2;"TPCDSOT23-SM712";;;
70;"R165,R39";"R_0402_1005Metric";2;"1M";;;
71;"R34";"R_0402_1005Metric";1;"12k";;;
72;"J8";"SIM-SMD_HYC90-SIM06-180";1;"HYC90-SIM06-180";;;
73;"C59,C56,C48";"CAP_L5";3;"16CE47FSS";;;
74;"R1";"R_1206_3216Metric";1;"1k";;;
75;"R29";"R_0402_1005Metric";1;"887k";;;
76;"J30,J31,J28,J29";"PinHeader_1x03_P2.54mm_Vertical";4;"Conn_01x03_Pin";;;
77;"H14,H12,H15,H13";"MountingHole_3.2mm_M3_Pad";4;"MountingHole";;;
78;"J21";"PinHeader_1x06_P1.00mm_Vertical";1;"Conn_01x06_Pin";;;
79;"R10,R8,R12,R6";"R_0603_1608Metric";4;"10.2k";;;
80;"R4";"R_0603_1608Metric";1;"20.5k";;;
81;"J26";"PinHeader_1x08_P1.00mm_Vertical";1;"Conn_01x08_Pin";;;
82;"U1,U2,U4,U3";"TPS54331DR";4;"TPS54331DR";;;
83;"C17";"C_0603_1608Metric";1;"1nF";;;
84;"U6";"AP7331-10WG.kicad_sym";1;"AP7331-10WG-7";;;
85;"U26,U25";"CMOS_EEPROM";2;"M24C64-RMN6TP";;;
86;"X1";"XTAL_24MHZ";1;"X322524MOB4SI";;;
87;"C70";"C_0402_1005Metric";1;"47pF";;;
88;"C42,C43,C41";"C_0402_1005Metric";3;"100uF";;;
89;"U10";"TUSB321RWBR";1;"TUSB321RWBR";;;
90;"D5";"BZT52C6V2S-7-F";1;"BZT52C6V2S-7-F";;;
91;"H17,H18,H16,H11,H10";"MountingHole_2.2mm_M2_Pad";5;"MountingHole";;;
92;"J5";"USB_2_CONNECTOR";1;"907-211A1019D10200";;;
93;"R13";"R_0603_1608Metric";1;"4.81k";;;
94;"J3";"USB_TYPEC";1;"TYPEC-304-ACP16";;;
95;"M2,M1";"FanPinHeader_1x04_P2.54mm_Vertical";2;"Fan_4pin";;;
96;"C1";"C_1206_3216Metric";1;"2nF";;;
97;"J17";"RJ45_SIMPLE";1;"RC01133";;;
98;"J25";"TH_HC-SFP-01L";1;"HC-SFP-01L";;;
99;"U19";"M24C04-RMN6TP";1;"M24C04-RMN6TP";;;
100;"R3";"R_0603_1608Metric";1;"11.3k";;;
101;"R9";"R_0603_1608Metric";1;"27.1k";;;
102;"R100";"R_0402_1005Metric";1;"475R 1%";;;
103;"J9";"HDMI_CONNECTOR";1;"HDMI_19PIN_043";;;
104;"R156";"R_0402_1005Metric";1;"2.49k 1%";;;
105;"BAT1";"CR2032_HOLDER";1;"BS-02-A1AJ010";;;
106;"C10";"C_0603_1608Metric";1;"100pF";;;
107;"C15";"C_0603_1608Metric";1;"2.7nF";;;
108;"R46";"R_0402_1005Metric";1;"20k";;;
109;"U9";"74HC74D";1;"74HC74D,653";;;
110;"R11";"R_0603_1608Metric";1;"8.2k";;;
111;"R45";"R_0402_1005Metric";1;"51R";;;
112;"R7";"R_0603_1608Metric";1;"41.2k";;;
113;"J27";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
114;"D7";"SOT-23";1;"BAT54C";;;
115;"H1";"MountingHole_4mm_Pad_Via";1;"MountingHole_Pad";;;
116;"U21";"RTL8367S-CG";1;"RTL8367S-CG";;;
117;"C16";"C_0603_1608Metric";1;"1.2nF";;;
118;"U7";"74HC04D";1;"74HC04D,653";;;
119;"C47";"C_0402_1005Metric";1;"1nF";;;
120;"R2";"R_0603_1608Metric";1;"39.2k";;;
121;"R52";"R_0402_1005Metric";1;"6k";;;
122;"U11";"AOZ1353DI01";1;"AOZ1353DI-01";;;
123;"C14";"C_0603_1608Metric";1;"750pF";;;
